,datadate,datatime,ticker,exchangecd,lastprice,volume,side
2,20161121,09:30:03,300559,XSHE,96.04,1800,B
3,20161121,09:30:06,300559,XSHE,96.04,7200,B
4,20161121,09:30:09,300559,XSHE,96.04,2700,B
5,20161121,09:30:12,300559,XSHE,96.04,1200,B
6,20161121,09:30:15,300559,XSHE,96.04,2100,B
7,20161121,09:30:18,300559,XSHE,96.04,2300,B
8,20161121,09:30:21,300559,XSHE,96.04,3800,B
9,20161121,09:30:24,300559,XSHE,96.04,4800,B
10,20161121,09:30:27,300559,XSHE,96.04,3500,B
11,20161121,09:30:30,300559,XSHE,96.04,7500,B
12,20161121,09:30:33,300559,XSHE,96.04,6600,B
13,20161121,09:30:36,300559,XSHE,96.04,3800,B
14,20161121,09:30:39,300559,XSHE,96.04,5000,B
15,20161121,09:30:42,300559,XSHE,96.04,9200,B
16,20161121,09:30:45,300559,XSHE,96.04,23100,B
17,20161121,09:30:48,300559,XSHE,96.04,22100,B
18,20161121,09:30:51,300559,XSHE,96.04,21520,B
19,20161121,09:30:54,300559,XSHE,96.04,30700,B
20,20161121,09:30:57,300559,XSHE,96.04,50500,B
21,20161121,09:31:00,300559,XSHE,96.04,37100,B
22,20161121,09:31:03,300559,XSHE,96.04,35800,B
23,20161121,09:31:06,300559,XSHE,96.04,45800,B
24,20161121,09:31:09,300559,XSHE,96.04,35700,B
25,20161121,09:31:12,300559,XSHE,96.04,144234,B
26,20161121,09:31:15,300559,XSHE,96.04,52000,B
27,20161121,09:31:18,300559,XSHE,96.04,70500,B
28,20161121,09:31:21,300559,XSHE,96.04,105266,B
29,20161121,09:31:24,300559,XSHE,95.01,12680,S
30,20161121,09:31:27,300559,XSHE,95.0,1800,S
31,20161121,09:31:30,300559,XSHE,94.68,1400,S
32,20161121,09:31:33,300559,XSHE,94.8,1300,B
33,20161121,09:31:36,300559,XSHE,95.16,11500,B
34,20161121,09:31:39,300559,XSHE,95.0,11400,S
35,20161121,09:31:42,300559,XSHE,94.5,5900,S
36,20161121,09:31:45,300559,XSHE,94.5,3900,B
37,20161121,09:31:48,300559,XSHE,94.0,5300,S
38,20161121,09:31:51,300559,XSHE,94.18,4400,B
39,20161121,09:31:54,300559,XSHE,94.01,5000,S
40,20161121,09:31:57,300559,XSHE,93.31,8100,S
41,20161121,09:32:00,300559,XSHE,94.0,7000,B
42,20161121,09:32:03,300559,XSHE,93.58,6100,S
